FullName,University,JoinYear,SubField,Bachelors,Doctorate
Martin J. Wainwright,"University of California, Berkeley",2004,Theory,University of Waterloo,Massachusetts Institute of Technology
Michael I. Jordan,"University of California, Berkeley",1998,Machine Learning & Data Mining,,"University of California, San Diego"
Michel M. Maharbiz,"University of California, Berkeley",2005,Comp. Bio & Bioinformatics,Cornell University,"University of California, Berkeley"
Moritz Hardt,"University of California, Berkeley",2015,Machine Learning & Data Mining,Saarland University,Princeton University
Nilah Ioannidis,"University of California, Berkeley",2019,Comp. Bio & Bioinformatics,Harvard University,Harvard University
Nir Yosef,"University of California, Berkeley",2014,Comp. Bio & Bioinformatics,Ben-Gurion University of the Negev,Tel Aviv University
Peter Bartlett,"University of California, Berkeley",2001,Machine Learning & Data Mining,,University of Queensland
Pieter Abbeel,"University of California, Berkeley",2008,Artificial Intelligence,Katholieke Universiteit Leuven,Stanford University
Prabal Dutta,"University of California, Berkeley",2010,Embedded & Real-Time Systems,Ohio State University,"University of California, Berkeley"
Prasad Raghavendra,"University of California, Berkeley",2012,Algorithms & Complexity,Indian Institute of Technology Madras,University of Washington
Raluca A. Popa,"University of California, Berkeley",2015,Computer Security,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Randy H. Katz,"University of California, Berkeley",1983,Operating Systems,Cornell University,"University of California, Berkeley"
Ren Ng,"University of California, Berkeley",2015,Computer Graphics,Stanford University,Stanford University
Richard M. Karp,"University of California, Berkeley",1968,Comp. Bio & Bioinformatics,,Harvard University
Ruzena Bajcsy,"University of California, Berkeley",2001,Artificial Intelligence,,Stanford University
S. Shankar Sastry,"University of California, Berkeley",1983,Artificial Intelligence,Indian Institute of Technology Bombay,"University of California, Berkeley"
Sanjam Garg,"University of California, Berkeley",2014,Computer Education,Indian Institute of Technology Delhi,"University of California, Los Angeles"
Sanjit A. Seshia,"University of California, Berkeley",2016,Logic & Verification,Indian Institute of Technology Bombay,Carnegie Mellon University
Satish Rao,"University of California, Berkeley",1999,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Sayeef S. Salahuddin,"University of California, Berkeley",,,,
Scott Shenker,"University of California, Berkeley",1998,Operating Systems,Brown University,"University of California, Berkeley"
Sergey Levine,"University of California, Berkeley",2016,Robotics,Stanford University,Stanford University
Seth R. Sanders,"University of California, Berkeley",,,,
Stuart J. Russell,"University of California, Berkeley",1996,Artificial Intelligence,University of Oxford,Stanford University
Sylvia Ratnasamy,"University of California, Berkeley",2011,Operating Systems,Savitribai Phule Pune University,"University of California, Berkeley"
Thomas Courtade,"University of California, Berkeley",2014,Theory,Michigan Technological University,"University of California, Los Angeles"
Trevor Darrell,"University of California, Berkeley",1999,Artificial Intelligence,University of Pennsylvania,Massachusetts Institute of Technology
Umesh V. Vazirani,"University of California, Berkeley",,Algorithms & Complexity,Indian Institute of Technology Delhi,"University of California, Berkeley"
Vern Paxson,"University of California, Berkeley",2007,Computer Networks,,"University of California, Berkeley"
Vivek Subramanian,"University of California, Berkeley",,,,
Vladimir Marko Stojanovic,"University of California, Berkeley",,,,
Yun S. Song,"University of California, Berkeley",2007,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Stanford University
Aditya Thakur,"University of California, Davis",2017,Programming Languages,Savitribai Phule Pune University,University of Wisconsin-Madison
Bernd Hamann,"University of California, Davis",1995,Computer Graphics,Technical University of Braunschweig,Arizona State University
Bertram Ludaescher,"University of California, Davis",2004,Databases,,University of Freiburg
Biswanath Mukherjee,"University of California, Davis",1987,Computer Networks,Indian Institute of Technology Kharagpur,University of Washington
Cindy Rubio-González,"University of California, Davis",2014,Algorithms & Complexity,Instituto Tecnológico de Saltillo,University of Wisconsin-Madison
Daniel Gusfield,"University of California, Davis",1987,Algorithms & Complexity,,"University of California, Berkeley"
David Doty,"University of California, Davis",2015,Algorithms & Complexity,Iowa State University,Iowa State University
Dipak Ghosal,"University of California, Davis",2004,Computer Networks,Indian Institute of Technology Kanpur,University of Louisiana at Lafayette
François Gygi,"University of California, Davis",1988,Scientific Computing,,ETH Zurich
Hao Chen,"University of California, Davis",2004,Computer Security,Southeast University,"University of California, Berkeley"
Ian Davidson,"University of California, Davis",2000,Machine Learning & Data Mining,,Monash University
Ilias Tagkopoulos,"University of California, Davis",2008,Comp. Bio & Bioinformatics,,Princeton University
Jason Lowe-Power,"University of California, Davis",2017,High-Performance Computing,Georgia Institute of Technology,University of Wisconsin-Madison
Josh McCoy,"University of California, Davis",2017,Artificial Intelligence,Earlham College,"University of California, Santa Cruz"
Karl N. Levitt,"University of California, Davis",1966,Computer Security,,New York University
Kennet I. Joy,"University of California, Davis",,Computer Graphics,"University of California, Los Angeles",University of Colorado Boulder
Kwan-Liu Ma,"University of California, Davis",1999,Computer Graphics,,University of Utah
Matt Bishop,"University of California, Davis",1984,Computer Security,"University of California, Berkeley",Purdue University
Matthew K. Farrens,"University of California, Davis",1989,Computer Architecture,Nebraska Wesleyan University,University of Wisconsin-Madison
Matthew K. Franklin,"University of California, Davis",2000,Computer Security,Pomona College,Columbia University
Michael Neff,"University of California, Davis",2006,Computer Graphics,McMaster University,University of Toronto
Mohammad Sadoghi,"University of California, Davis",2017,Databases,University of Toronto,University of Toronto
Nelson L. Max,"University of California, Davis",1977,Computer Graphics,,Harvard University
Nina Amenta,"University of California, Davis",2003,Computer Graphics,Yale University,"University of California, Berkeley"
Norman S. Matloff,"University of California, Davis",1975,High-Performance Computing,,"University of California, Los Angeles"
Patrice Koehl,"University of California, Davis",2008,Algorithms & Complexity,École Centrale Paris,Louis Pasteur University
Phillip Rogaway,"University of California, Davis",1994,Cryptography,"University of California, Berkeley",Massachusetts Institute of Technology
Prasant Mohapatra,"University of California, Davis",2001,Mobile Computing,"National Institute of Technology, Rourkela",Pennsylvania State University
Premkumar T. Devanbu,"University of California, Davis",1994,Software Engineering,Indian Institute of Technology Madras,Rutgers University
Raissa M. D'Souza,"University of California, Davis",2005,Algorithms & Complexity,University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology
Raju Pandey,"University of California, Davis",,Programming Languages,Indian Institute of Technology Kharagpur,University of Texas at Austin
Ronald A. Olsson,"University of California, Davis",,Programming Languages,,University of Arizona
Samuel T. King,"University of California, Davis",2017,Computer Security,"University of California, Los Angeles",University of Michigan
Shyhtsun Felix Wu,"University of California, Davis",2000,Computer Security,Tunghai University,Columbia University
Vladimir Filkov,"University of California, Davis",2002,Software Engineering,La Roche College,Stony Brook University
Xin Liu,"University of California, Davis",2008,Machine Learning & Data Mining,Xi'an Jiaotong University,Purdue University
Yong Jae Lee,"University of California, Davis",2014,Computer Vision,University of Illinois at Urbana-Champaign,University of Texas at Austin
Zhaojun Bai,"University of California, Davis",2000,High-Performance Computing,Fudan University,Fudan University
Aditi Majumder,"University of California, Irvine",2014,Computer Graphics,Jadavpur University,University of North Carolina at Chapel Hill
Alex Nicolau,"University of California, Irvine",1988,Computer Architecture,,Yale University
Alexander T. Ihler,"University of California, Irvine",2013,Artificial Intelligence,California Institute of Technology,Massachusetts Institute of Technology
Alexander V. Veidenbaum,"University of California, Irvine",,Computer Architecture,,University of Illinois at Urbana-Champaign
Alfred Kobsa,"University of California, Irvine",2003,Human-Computer Interaction,Johannes Kepler University Linz,University of Vienna
Amelia C. Regan,"University of California, Irvine",1997,Algorithms & Complexity,University of Pennsylvania,University of Texas at Austin
André van der Hoek,"University of California, Irvine",2000,Computer Networks,Erasmus University Rotterdam,University of Colorado Boulder
Aparna Chandramowlishwaran,"University of California, Irvine",2015,High-Performance Computing,"Anna University, Chennai",Georgia Institute of Technology
Ardalan Amiri Sani,"University of California, Irvine",2015,Operating Systems,Sharif University of Technology,Rice University
Babak Shahbaba,"University of California, Irvine",,Artificial Intelligence,,University of Toronto
Bill Tomlinson,"University of California, Irvine",2003,Human-Computer Interaction,Harvard University,Massachusetts Institute of Technology
Bonnie A. Nardi,"University of California, Irvine",,Human-Computer Interaction,"University of California, Berkeley","University of California, Irvine"
Charless C. Fowlkes,"University of California, Irvine",2007,Computer Vision,California Institute of Technology,"University of California, Berkeley"
